Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum 
55712,9523,-4.19635e+06,147,57413.6,165,58989.3
55712,8485,-4.19635e+06,140,57413.6,164,58989.3
55712,8459,-4.19635e+06,158,57413.6,150,58989.3
55712,8013,-4.19635e+06,138,57413.6,147,58989.3
55712,8243,-4.19635e+06,151,57413.6,212,58989.3
55712,6550,-4.19635e+06,148,57413.6,161,58989.3
55712,5921,-4.19635e+06,147,57413.6,159,58989.3
55712,8253,-4.19635e+06,150,57413.6,146,58989.3
55712,8492,-4.19635e+06,164,57413.6,188,58989.3
55712,9548,-4.19635e+06,273,57413.6,188,58989.3
55712,7488,-4.19635e+06,145,57413.6,152,58989.3
55712,6518,-4.19635e+06,153,57413.6,166,58989.3
55712,4759,-4.19635e+06,151,57413.6,162,58989.3
55712,7439,-4.19635e+06,145,57413.6,143,58989.3
55712,7178,-4.19635e+06,151,57413.6,149,58989.3
55712,5570,-4.19635e+06,152,57413.6,226,58989.3
55712,5740,-4.19635e+06,147,57413.6,150,58989.3
55712,7962,-4.19635e+06,143,57413.6,247,58989.3
55712,8283,-4.19635e+06,140,57413.6,149,58989.3
55712,8186,-4.19635e+06,141,57413.6,151,58989.3
